"","player","team","position","points","total_rebounds","assists","steals","blocks","missed_field_goals","missed_free_throws","turnovers","games_played","efficiency","salary"
"181","J.J. Hickson","WAS","C",4.6,3,0.466666666666667,0.333333333333333,0.133333333333333,-1.4,-1.66666666666667,-0.6,15,0.593278261592694,366337
"182","J.J. O'Brien","UTA","SF",0,0.5,0,0.5,0,-0.5,0,0,2,-0.293635458102526,105888
"183","J.J. Redick","LAC","SG",16.3466666666667,1.85333333333333,1.41333333333333,0.56,0.0666666666666667,-6.10666666666667,-0.306666666666667,-1.04,75,3.7204989757389,6867000
"184","J.R. Smith","CLE","SG",12.4025974025974,2.81818181818182,1.68831168831169,1.05194805194805,0.272727272727273,-6.45454545454545,-0.337662337662338,-0.766233766233766,77,0.430889939097091,5e+06
"185","Jabari Parker","MIL","PF",14.0789473684211,5.19736842105263,1.71052631578947,0.907894736842105,0.381578947368421,-6,-0.697368421052632,-1.52631578947368,76,5.91356322517444,5152440
"186","Jae Crowder","BOS","SF",14.2191780821918,5.10958904109589,1.84931506849315,1.72602739726027,0.479452054794521,-6.20547945205479,-0.589041095890411,-1.13698630136986,73,6.94512435257515,6e+06
"187","Jahlil Okafor","PHI","C",17.5094339622642,7.0377358490566,1.22641509433962,0.415094339622642,1.15094339622642,-7.24528301886792,-1.15094339622642,-2.33962264150943,53,8.28433094431794,4582680
"188","JaKarr Sampson","DEN","SF",5.15384615384615,2.34615384615385,0.615384615384615,0.461538461538462,0.653846153846154,-2.34615384615385,-0.269230769230769,-0.730769230769231,26,2.2441617466074,285489
"189","JaKarr Sampson","PHI","SF",5.1063829787234,2.74468085106383,0.638297872340426,0.234042553191489,0.340425531914894,-2.46808510638298,-0.74468085106383,-1.08510638297872,47,0.952080890788899,845059
"190","Jamal Crawford","LAC","SG",14.1772151898734,1.83544303797468,2.31645569620253,0.658227848101266,0.151898734177215,-7.08860759493671,-0.329113924050633,-1.43037974683544,79,0.303584800983743,5675000
"191","Jameer Nelson","DEN","PG",7.66666666666667,2.94871794871795,4.87179487179487,0.641025641025641,0.128205128205128,-4.97435897435897,-0.128205128205128,-1.69230769230769,39,1.78814277122176,4500000
"192","James Anderson","SAC","SG",3.50980392156863,1.68627450980392,0.803921568627451,0.411764705882353,0.274509803921569,-2.17647058823529,-0.137254901960784,-0.823529411764706,51,-0.584415366438879,1015421
"193","James Ennis","MEM","SF",1.6,0.7,0.2,0.4,0.2,-0.9,-0.4,-0.2,10,0.160031875904019,845059
"194","James Ennis","NOP","SF",15.8888888888889,3.88888888888889,2,1.33333333333333,0.333333333333333,-5.55555555555556,-0.555555555555556,-1.88888888888889,9,8.42919072383764,74564
"195","James Harden","HOU","SG",28.9756097560976,6.10975609756098,7.46341463414634,1.69512195121951,0.621951219512195,-11.0609756097561,-1.42682926829268,-4.5609756097561,82,5.49488210357207,15756438
"196","James Johnson","TOR","PF",5.03508771929825,2.21052631578947,1.17543859649123,0.508771929824561,0.578947368421053,-2.21052631578947,-0.508771929824561,-0.947368421052632,57,1.97727196686465,2500000
"197","James Jones","CLE","SF",3.70833333333333,1.04166666666667,0.291666666666667,0.229166666666667,0.208333333333333,-1.75,-0.104166666666667,-0.270833333333333,48,1.55621003269714,1499000
"198","James Michael McAdoo","GSW","PF",2.85365853658537,1.41463414634146,0.414634146341463,0.24390243902439,0.195121951219512,-0.951219512195122,-0.560975609756098,-0.390243902439024,41,1.04914184589543,845059
"199","James Young","BOS","SG",1,0.896551724137931,0.310344827586207,0.206896551724138,0.0344827586206897,-0.862068965517241,-0.103448275862069,-0.172413793103448,29,-0.529462008180741,1749840
"200","JaMychal Green","MEM","PF",7.41025641025641,4.78205128205128,0.858974358974359,0.58974358974359,0.423076923076923,-3.3974358974359,-0.435897435897436,-1.06410256410256,78,3.03537017652937,845059
"201","Jared Cunningham","MIL","SG",4,2.25,0.25,0.5,0,-2.5,-0.25,-0.75,4,-1.06638872319434,57726
"202","Jared Dudley","WAS","PF",7.87654320987654,3.53086419753086,2.09876543209877,0.925925925925926,0.222222222222222,-3.1358024691358,-0.320987654320988,-0.987654320987654,81,4.30993809910097,4250000
"203","Jared Sullinger","BOS","PF",10.2962962962963,8.30864197530864,2.30864197530864,0.925925925925926,0.580246913580247,-5.61728395061728,-0.716049382716049,-1.25925925925926,81,3.97004215896932,2269260
"204","Jarell Eddie","WAS","SF",2.42307692307692,0.884615384615385,0.192307692307692,0.192307692307692,0.0384615384615385,-1.73076923076923,0,-0.0384615384615385,26,0.539485582901464,561716
"205","Jarell Martin","MEM","PF",5.66666666666667,3.18518518518519,0.555555555555556,0.296296296296296,0.259259259259259,-2.2962962962963,-0.62962962962963,-0.703703703703704,27,2.12476719139054,1230840
"206","Jarrett Jack","BRK","PG",12.84375,4.25,7.375,1.0625,0.21875,-6.8125,-0.375,-2.9375,32,4.20951692412071,6300000
"207","Jason Smith","ORL","C",7.18421052631579,2.88157894736842,0.815789473684211,0.434210526315789,0.855263157894737,-3.40789473684211,-0.171052631578947,-0.75,76,4.04914654028848,4300000
"208","Jason Terry","HOU","SG",5.86111111111111,1.09722222222222,1.43055555555556,0.652777777777778,0.125,-3.125,-0.0833333333333333,-0.680555555555556,72,0.29044696455958,1499187
"209","Jason Thompson","GSW","C",2.14285714285714,1.92857142857143,0.678571428571429,0.142857142857143,0.285714285714286,-0.785714285714286,-0.428571428571429,-0.25,28,1.10439408330262,6431250
"210","Jason Thompson","TOR","C",4.57894736842105,4.21052631578947,0.526315789473684,0.421052631578947,0.631578947368421,-1.78947368421053,-0.210526315789474,-0.421052631578947,19,3.34985116503489,328955
"211","JaVale McGee","DAL","C",5.05882352941176,3.91176470588235,0.0882352941176471,0.147058823529412,0.764705882352941,-1.67647058823529,-0.529411764705882,-0.617647058823529,34,2.97462157502712,1270964
"212","Jeff Ayres","LAC","C",1.76470588235294,1.29411764705882,0.294117647058824,0,0.176470588235294,-0.647058823529412,0,-0.352941176470588,17,1.19417691091105,317232
"213","Jeff Green","LAC","SF",10.8518518518519,3.37037037037037,1.48148148148148,0.666666666666667,0.777777777777778,-5.66666666666667,-0.925925925925926,-0.888888888888889,27,3.29116576670535,9200000
"214","Jeff Teague","ATL","PG",15.6835443037975,2.70886075949367,5.94936708860759,1.22784810126582,0.30379746835443,-7.0126582278481,-0.645569620253165,-2.75949367088608,79,5.55389093411113,8e+06
"215","Jeff Withey","UTA","C",4.25490196078431,3.3921568627451,0.392156862745098,0.411764705882353,1.03921568627451,-1.47058823529412,-0.313725490196078,-0.549019607843137,51,3.09981616558667,947276
"216","Jerami Grant","PHI","SF",9.72727272727273,4.68831168831169,1.75324675324675,0.701298701298701,1.64935064935065,-4.51948051948052,-1.42857142857143,-1.42857142857143,77,3.10178913248291,845059
"217","Jeremy Evans","DAL","SF",2.36666666666667,1.8,0.0666666666666667,0.2,0.3,-0.733333333333333,-0.2,-0.233333333333333,30,1.42716387783312,1100602
"218","Jeremy Lamb","CHO","SG",8.78787878787879,3.81818181818182,1.16666666666667,0.636363636363636,0.454545454545455,-4.24242424242424,-0.363636363636364,-0.757575757575758,66,0.780310960365928,3034356
"219","Jeremy Lin","CHO","SG",11.7179487179487,3.24358974358974,3.01282051282051,0.743589743589744,0.538461538461538,-5.48717948717949,-0.692307692307692,-1.92307692307692,78,0.490897334010469,2100000
